,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
5200,Jul,2,Thursday,Honda,Urban,Monday,Jul,3,Male,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5201,10,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
6394,Jan,5,Sunday,Toyota,Urban,Wednesday,Mar,1,Male,Single,43,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6395,13,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
9473,Apr,1,Sunday,Toyota,Urban,Monday,Apr,1,Male,Divorced,58,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9474,7,400,2,more than 30,more than 30,2 to 4,6 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability
14483,Apr,1,Sunday,Toyota,Urban,Monday,Jul,3,Male,Married,51,Third Party,Sedan - Collision,Sedan,less than 20000,0,14484,3,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision
10245,Aug,5,Tuesday,Chevrolet,Urban,Monday,Sep,1,Female,Married,51,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,10246,9,400,4,more than 30,more than 30,1,7 years,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1995,All Perils
12969,Apr,5,Friday,Pontiac,Urban,Tuesday,May,1,Male,Single,52,Policy Holder,Utility - All Perils,Utility,more than 69000,0,12970,3,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
4377,Jun,2,Thursday,Accura,Rural,Monday,Jun,4,Female,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,4378,9,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
1675,Mar,1,Wednesday,Honda,Urban,Monday,Mar,2,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,1676,15,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
11243,Mar,3,Friday,Chevrolet,Urban,Friday,Mar,5,Male,Married,67,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11244,13,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Collision
10030,Feb,2,Friday,Toyota,Urban,Friday,Feb,3,Male,Married,72,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,10031,6,400,2,more than 30,more than 30,2 to 4,more than 7,over 65,Yes,No,External,1 to 2,no change,1 vehicle,1995,Collision
3505,Oct,3,Tuesday,Chevrolet,Urban,Thursday,Oct,3,Female,Single,38,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3506,4,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
14336,Nov,3,Friday,Honda,Urban,Tuesday,Nov,4,Male,Married,50,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,14337,6,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils
11322,Aug,5,Wednesday,Chevrolet,Urban,Wednesday,Aug,5,Male,Married,39,Policy Holder,Utility - All Perils,Utility,more than 69000,0,11323,12,500,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,2 to 3 years,1 vehicle,1995,All Perils
11615,Jun,3,Thursday,Pontiac,Urban,Friday,Jun,3,Male,Married,51,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11616,6,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability
6409,Sep,3,Saturday,Pontiac,Rural,Thursday,Sep,5,Male,Married,58,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6410,9,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
9703,Aug,4,Sunday,Honda,Urban,Tuesday,Aug,5,Male,Married,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9704,15,700,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability
15004,Jul,4,Tuesday,Pontiac,Urban,Wednesday,Jul,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,less than 20000,0,15005,7,700,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability
12551,Jun,2,Saturday,Pontiac,Urban,Thursday,Jul,3,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12552,16,400,1,more than 30,more than 30,none,7 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1996,Collision
4338,Jul,4,Saturday,Chevrolet,Rural,Monday,Jul,4,Male,Married,46,Third Party,Sedan - Liability,Sport,20000 to 29000,0,4339,8,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,Internal,1 to 2,no change,1 vehicle,1994,Liability
8703,Dec,3,Monday,Saab,Urban,Wednesday,Dec,5,Male,Single,34,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,8704,15,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
10626,Nov,2,Saturday,Mazda,Urban,Tuesday,Mar,3,Male,Married,50,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10627,6,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Liability
169,May,3,Thursday,Honda,Urban,Monday,May,4,Male,Married,57,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,170,7,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1200,Jul,4,Tuesday,Mazda,Urban,Friday,Sep,1,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1201,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
12026,Jan,1,Monday,Toyota,Urban,Monday,Jan,2,Male,Married,56,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12027,4,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Liability
1685,Oct,2,Monday,Pontiac,Urban,Monday,Oct,2,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1686,14,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
13503,Jun,4,Thursday,Honda,Urban,Wednesday,Jun,5,Male,Married,49,Policy Holder,Sedan - Liability,Sport,more than 69000,0,13504,13,400,2,more than 30,more than 30,2 to 4,5 years,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1996,Liability
13072,Aug,3,Friday,Honda,Urban,Friday,Sep,1,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13073,14,400,2,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability
7716,Jul,4,Tuesday,Honda,Urban,Wednesday,Jul,4,Female,Single,62,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7717,11,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability
2259,Apr,3,Wednesday,Honda,Urban,Wednesday,Apr,4,Female,Single,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2260,9,400,1,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
14777,Sep,4,Sunday,Honda,Urban,Sunday,Oct,1,Male,Married,41,Third Party,Sedan - All Perils,Sedan,more than 69000,0,14778,15,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
15387,Jan,1,Saturday,Jaguar,Urban,Wednesday,Jan,2,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,0,15388,9,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils
7644,Apr,2,Monday,Honda,Urban,Monday,Apr,3,Female,Single,32,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,7645,5,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,1 year,2 vehicles,1995,All Perils
2019,May,1,Sunday,Pontiac,Urban,Tuesday,May,1,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2020,5,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
11221,Jun,3,Monday,Saturn,Rural,Wednesday,Jun,5,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11222,14,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
3326,Apr,1,Tuesday,Mazda,Urban,Tuesday,Apr,1,Male,Married,61,Third Party,Sedan - Liability,Sport,more than 69000,0,3327,13,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
10523,Oct,4,Friday,Ford,Urban,Thursday,Nov,1,Male,Married,49,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,10524,10,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
10779,Feb,2,Sunday,Toyota,Urban,Monday,Feb,3,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10780,15,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6292,Apr,3,Sunday,Toyota,Urban,Monday,Apr,3,Female,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6293,2,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
4784,Dec,4,Wednesday,Toyota,Urban,Tuesday,Dec,4,Female,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4785,9,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
1848,Jan,2,Monday,Toyota,Urban,Tuesday,Jan,2,Male,Married,30,Third Party,Sedan - Liability,Sport,30000 to 39000,0,1849,10,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability
13033,Aug,3,Wednesday,Mazda,Urban,Thursday,Aug,3,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13034,2,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision
4251,Mar,3,Sunday,Pontiac,Urban,Monday,Mar,5,Male,Married,54,Policy Holder,Sedan - Liability,Sport,more than 69000,0,4252,9,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
1284,Dec,3,Wednesday,Accura,Urban,Thursday,Dec,5,Male,Married,39,Third Party,Utility - All Perils,Utility,more than 69000,0,1285,12,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
2336,Apr,4,Wednesday,Toyota,Rural,Tuesday,May,1,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2337,11,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
9637,Sep,2,Wednesday,Accura,Urban,Wednesday,Sep,3,Male,Single,52,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,9638,10,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
4054,Dec,3,Thursday,Toyota,Rural,Friday,Dec,3,Female,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4055,13,400,4,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
9120,Jan,1,Friday,Honda,Urban,Monday,Jan,2,Male,Single,30,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9121,5,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
5620,Jun,5,Thursday,Mazda,Urban,Wednesday,Jul,2,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,5621,14,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
4670,Feb,1,Thursday,Chevrolet,Urban,Wednesday,Feb,2,Female,Married,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4671,9,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
8498,Feb,2,Tuesday,Pontiac,Urban,Thursday,Feb,2,Female,Divorced,27,Policy Holder,Sedan - Liability,Sport,more than 69000,0,8499,10,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
3595,Mar,2,Wednesday,Chevrolet,Urban,Friday,Mar,2,Male,Single,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3596,5,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
187,Dec,5,Thursday,Pontiac,Urban,Friday,Jan,2,Male,Married,54,Third Party,Sedan - Liability,Sport,20000 to 29000,0,188,10,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
476,May,1,Wednesday,Pontiac,Urban,Wednesday,May,2,Male,Single,22,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,477,5,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
11121,Mar,5,Wednesday,Pontiac,Urban,Tuesday,Jun,2,Male,Single,41,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,11122,6,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
2338,Mar,4,Saturday,Chevrolet,Urban,Thursday,Apr,2,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,2339,16,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
13262,Jun,2,Sunday,Toyota,Urban,Monday,Jun,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13263,9,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
10826,Mar,2,Tuesday,Mazda,Urban,Thursday,Mar,2,Female,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,10827,5,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
12321,Feb,3,Monday,Pontiac,Urban,Thursday,Feb,4,Male,Married,65,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12322,15,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision
13583,Apr,1,Thursday,Accura,Urban,Thursday,Apr,1,Male,Single,30,Third Party,Sedan - Liability,Sport,20000 to 29000,0,13584,4,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
1102,Nov,4,Friday,Mazda,Urban,Thursday,Nov,5,Male,Single,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1103,2,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision
8002,Apr,4,Saturday,Mazda,Urban,Monday,Apr,4,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8003,13,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision
2320,Dec,4,Friday,Mazda,Urban,Wednesday,Mar,3,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2321,12,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
451,Jun,5,Friday,Mazda,Urban,Wednesday,Jul,1,Female,Single,32,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,452,13,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,3 to 4,1994,All Perils
7009,Dec,2,Sunday,Honda,Urban,Monday,Dec,2,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,7010,10,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
5658,Feb,4,Saturday,Toyota,Urban,Tuesday,Mar,1,Male,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5659,10,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,3 to 4,1994,All Perils
6789,Oct,2,Thursday,Pontiac,Urban,Friday,Oct,2,Male,Single,80,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6790,3,700,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability
281,Dec,4,Tuesday,Pontiac,Urban,Friday,Jan,4,Male,Married,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,282,4,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
14191,Jun,3,Monday,Honda,Urban,Tuesday,Jun,3,Male,Married,43,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,14192,11,400,4,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability
8709,Jan,1,Saturday,Pontiac,Urban,Thursday,Jan,2,Male,Married,38,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,8710,11,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
5988,Jan,5,Saturday,Toyota,Urban,Tuesday,Feb,1,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,5989,8,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
9814,Feb,1,Friday,Honda,Urban,Friday,Apr,1,Male,Single,0,Policy Holder,Utility - All Perils,Utility,more than 69000,0,9815,5,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,All Perils
4327,Nov,3,Monday,Chevrolet,Urban,Friday,Nov,4,Male,Single,23,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4328,9,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils
6516,Mar,5,Tuesday,Chevrolet,Urban,Friday,Apr,1,Male,Married,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6517,15,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
1147,Feb,2,Thursday,Honda,Urban,Monday,Feb,4,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,1148,5,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
4305,Jun,1,Monday,Saab,Urban,Tuesday,Jun,2,Male,Married,45,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,4306,2,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,4 to 8 years,3 to 4,1994,All Perils
980,Sep,2,Sunday,Honda,Urban,Thursday,Sep,3,Female,Married,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,981,16,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
2466,Apr,3,Thursday,Toyota,Urban,Wednesday,Apr,3,Female,Married,37,Third Party,Sedan - Liability,Sport,more than 69000,0,2467,10,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
4247,Mar,1,Monday,Mazda,Urban,Tuesday,Mar,2,Female,Married,53,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,4248,3,700,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
6696,Sep,1,Monday,Pontiac,Urban,Tuesday,Sep,4,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6697,2,700,4,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
1684,Mar,1,Wednesday,Chevrolet,Rural,Friday,Mar,1,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,1685,9,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
8037,Apr,2,Sunday,Toyota,Urban,Thursday,Apr,2,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8038,14,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
2420,Mar,1,Sunday,Toyota,Urban,Tuesday,Mar,2,Male,Married,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2421,10,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
11060,Mar,4,Saturday,Pontiac,Rural,Tuesday,Mar,5,Male,Married,22,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,11061,16,400,4,more than 30,more than 30,none,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Collision
12311,Sep,4,Saturday,Pontiac,Rural,Monday,Oct,1,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12312,7,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
2351,Sep,2,Friday,Toyota,Urban,Monday,Sep,3,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,2352,14,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
458,Oct,5,Monday,Toyota,Urban,Wednesday,Nov,1,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,459,3,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
11407,Oct,3,Sunday,Mazda,Rural,Tuesday,Oct,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11408,16,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision
2707,Apr,2,Sunday,Pontiac,Urban,Monday,Apr,2,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,2708,10,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
3173,Sep,4,Sunday,Mazda,Urban,Monday,Sep,4,Male,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3174,15,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
12939,Dec,3,Friday,Honda,Rural,Thursday,Aug,1,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12940,6,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
10416,Mar,1,Sunday,Mazda,Urban,Monday,Mar,2,Male,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10417,3,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability
8511,Dec,2,Saturday,Honda,Urban,Tuesday,Dec,3,Male,Married,51,Policy Holder,Sport - Collision,Sport,more than 69000,1,8512,13,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision
13225,Jun,5,Thursday,Accura,Urban,Wednesday,Jul,2,Male,Married,57,Policy Holder,Utility - All Perils,Utility,more than 69000,1,13226,2,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils
1291,Feb,4,Thursday,Toyota,Urban,Friday,Feb,4,Male,Married,30,Third Party,Sedan - Liability,Sport,20000 to 29000,0,1292,14,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
13238,Sep,3,Thursday,Pontiac,Urban,Friday,Sep,3,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13239,16,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision
11246,Aug,1,Saturday,Honda,Urban,Thursday,Aug,2,Male,Married,55,Third Party,Sedan - Liability,Sport,30000 to 39000,0,11247,4,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability
7633,Jan,2,Saturday,Toyota,Urban,Monday,Jan,5,Male,Married,45,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,7634,13,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
6687,Oct,3,Wednesday,Toyota,Urban,Thursday,Oct,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6688,3,400,2,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
2508,Sep,4,Monday,Pontiac,Urban,Monday,Sep,4,Male,Married,48,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2509,5,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
2322,Sep,4,Tuesday,Pontiac,Rural,Wednesday,Apr,4,Male,Married,40,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2323,2,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
7730,Sep,3,Saturday,Honda,Urban,Thursday,Sep,5,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7731,3,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
14385,Sep,4,Tuesday,Accura,Urban,Tuesday,May,4,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14386,14,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1996,Collision
8768,Feb,3,Monday,Pontiac,Urban,Friday,Feb,4,Male,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8769,16,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
